what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1296221520989
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1296221520989
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1296221521005
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1296221521005
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1296221521020
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1296221521020
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1296221521020
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1296221521051
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1296221521051
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1296221521083
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1296221521239
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1296221521254
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1296221521379
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1296221521457
os,sysinfo,,,"win32",1296221521473
arch,sysinfo,,,"x86",1296221521473
ws,sysinfo,,,"win32",1296221521473
locale,sysinfo,,,"fr_CH",1296221521473
processors,sysinfo,,,"2",1296221521473
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1296221521473
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1296221521473
java.specification.name,sysinfo,,,"Java Platform API Specification",1296221521473
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296221521473
java.specification.version,sysinfo,,,"1.6",1296221521473
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296221521473
java.version,sysinfo,,,"1.6.0_20",1296221521473
java.vm.info,sysinfo,,,"mixed mode, sharing",1296221521473
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1296221521473
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296221521473
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296221521473
java.vm.specification.version,sysinfo,,,"1.0",1296221521473
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296221521473
java.vm.version,sysinfo,,,"16.3-b01",1296221521473
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1296221521504
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1296221521613
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1296221521675
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1296221521675
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1296221521863
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1296221522050
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1296221522112
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1296221522159
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1296221522299
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1296221522377
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1296221528259
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1296221528290
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1296221528820
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1296221528867
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1296221528898
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1296221528945
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1296221529023
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1296221529039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221529101
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1296221532346
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1296221532362
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1296221532393
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1296221532408
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1296221532455
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1296221532486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221581075
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221582011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221582102
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1296221585909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221586166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221587631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221588900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221589021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221590955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221606998
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1296221617890
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1296221617905
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1296221617905
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296221628223
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1296221628556
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1296221628571
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296221628677
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1296221633043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1296221633043
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1296221642530
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1296221648376
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221652228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221669903
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1296221670251
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1296221670311
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296221671928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221674587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221683545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221687714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221689829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296221689829
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1296221694815
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1296221697428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221702595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221710103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221712867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296221792649
